Time,Right_hand_fatigue,Right_hand_intermittent,Left_hand_fatigue,Left_hand_intermittent,,
0,3.87021672027,1.71374656307,8.60097312764,3.65456970455,,
0.1,4.08586373599,1.71374656307,16.7820817865,4.73280478315,,
0.2,4.08586373599,2.14504059451,31.2034759629,5.58191490755,,
0.3,5.58191490755,2.36068761023,41.1097607475,6.22885595472,,
0.4,7.95403208048,3.00762865739,43.8996940134,9.2479141748,,
0.5,12.9004355036,4.08586373599,40.6784667161,18.2916108966,,
0.6,19.7876620681,10.5417962691,34.6403502759,35.2872913231,,
0.7,25.3944844769,25.3944844769,33.5755931358,40.4628197004,,
0.8,28.6157117742,38.3063495432,34.6403502759,30.1252408843,,
0.9,29.2626528214,40.8941137318,35.2872913231,8.60097312764,,
1,27.5374766956,38.9532905903,35.0716443073,5.36626789183,,
1.1,26.6883665712,20.4346031153,35.5029383388,4.30151075171,,
1.2,25.8257785083,4.51715776743,36.149879386,4.30151075171,,
1.3,26.041425524,3.43892268883,36.3655264017,5.79756192327,,
1.4,26.6883665712,3.22327567311,35.0716443073,20.4346031153,,
1.5,27.968770727,3.00762865739,35.5029383388,38.5219965589,,
1.6,29.2626528214,2.79198164167,35.9342323702,42.6058119191,,
1.7,29.0470058057,4.30151075171,35.7185853545,37.8750555117,,
1.8,28.8313587899,16.9977288023,36.149879386,26.6883665712,,
1.9,28.6157117742,31.6347699943,36.149879386,14.6256116293,,
2,28.6157117742,35.5029383388,35.9342323702,5.15062087611,,
2.1,28.6157117742,37.0124674488,34.8559972916,3.65456970455,,
2.2,28.4000647585,37.8750555117,33.5755931358,3.65456970455,,
2.3,28.4000647585,31.4191229786,32.2817110415,4.73280478315,,
2.4,28.4000647585,8.1696790962,31.6347699943,11.6200313477,,
2.5,28.8313587899,4.08586373599,30.9878289471,16.5664347708,,
2.6,28.8313587899,2.79198164167,29.9095938685,24.9631904454,,
2.7,28.8313587899,2.36068761023,29.9095938685,30.3408879,,
2.8,29.0470058057,2.14504059451,30.3408879,28.1844177428,,
2.9,29.2626528214,3.22327567311,30.7721819314,24.1006023826,,
3,29.2626528214,18.9385519437,31.6347699943,23.2380143197,,
3.1,29.4782998371,37.0124674488,29.9095938685,17.4290228337,,
3.2,29.2626528214,44.7622820763,25.3944844769,6.87579700188,,
3.3,29.0470058057,46.0561641706,23.6693083511,3.87021672027,,
3.4,29.0470058057,46.2718111863,25.8257785083,3.43892268883,,
3.5,29.0470058057,44.3309880449,25.8257785083,5.15062087611,,
3.6,29.0470058057,12.2534944564,24.7475434297,9.2479141748,,
3.7,29.0470058057,3.22327567311,24.7475434297,21.2971911782,,
3.8,28.4000647585,2.57633462595,43.0371059505,32.9286520886,,
3.9,28.6157117742,2.36068761023,49.4930384837,39.168937606,,
4,28.4000647585,2.36068761023,43.6840469977,38.9532905903,,
4.1,27.5374766956,3.22327567311,40.4628197004,29.0470058057,,
4.2,27.5374766956,20.4346031153,37.0124674488,11.1887373163,,
4.3,26.8905356484,36.149879386,35.0716443073,4.93497386039,,
4.4,27.3218296799,41.7432238562,31.2034759629,3.65456970455,,
4.5,27.3218296799,43.8996940134,28.4000647585,3.22327567311,,
4.6,27.3218296799,43.8996940134,27.3218296799,3.22327567311,,
4.7,27.5374766956,20.8658971468,27.1061826642,6.66014998616,,
4.8,28.1844177428,6.22885595472,25.6101314926,20.0033090839,,
4.9,27.7531237113,3.43892268883,24.3162493983,30.1252408843,,
5,27.7531237113,2.57633462595,23.8849553668,30.9878289471,,
5.1,28.1844177428,2.14504059451,23.8849553668,30.1252408843,,
5.2,28.1844177428,2.57633462595,24.7475434297,27.3218296799,,
5.3,28.4000647585,16.3507877551,26.8905356484,15.0569056608,,
5.4,28.1844177428,34.6403502759,28.4000647585,6.22885595472,,
5.5,27.3218296799,42.1745178876,29.2626528214,4.30151075171,,
5.6,27.7531237113,43.6840469977,29.4782998371,3.43892268883,,
5.7,27.3218296799,43.2527529662,29.9095938685,3.00762865739,,
5.8,26.6883665712,22.5910732725,29.2626528214,4.30151075171,,
5.9,27.5374766956,4.30151075171,28.4000647585,32.4973580572,,
6,28.4000647585,2.57633462595,27.7531237113,47.9969873121,,
6.1,29.4782998371,2.36068761023,28.1844177428,47.7813402964,,
6.2,30.1252408843,2.36068761023,29.0470058057,46.2718111863,,
6.3,30.1252408843,2.79198164167,29.0470058057,42.6058119191,,
6.4,29.9095938685,16.7820817865,29.0470058057,21.0815441625,,
6.5,30.5565349157,31.2034759629,28.4000647585,5.79756192327,,
6.6,30.5565349157,37.0124674488,28.1844177428,3.43892268883,,
6.7,30.1252408843,39.3845846218,28.1844177428,3.00762865739,,
6.8,30.1252408843,39.8158786532,27.5374766956,2.57633462595,,
6.9,30.1252408843,25.1788374612,27.1061826642,2.79198164167,,
7,29.9095938685,4.73280478315,26.2570725398,8.60097312764,,
7.1,29.6939468528,2.36068761023,25.3944844769,19.3698459752,,
7.2,29.9095938685,2.36068761023,24.9631904454,27.1061826642,,
7.3,29.6939468528,1.92939357879,24.7475434297,27.3218296799,,
7.4,29.4782998371,4.30151075171,24.9631904454,24.1006023826,,
7.5,30.5565349157,23.2380143197,24.9631904454,14.4099646136,,
7.6,31.2034759629,36.3655264017,24.7475434297,5.15062087611,,
7.7,31.4191229786,42.1745178876,24.3162493983,3.22327567311,,
7.8,30.5565349157,44.1153410291,24.1006023826,2.57633462595,,
7.9,31.2034759629,46.7031052178,24.1006023826,2.57633462595,,
8,31.4191229786,24.531896414,24.9631904454,7.52273804904,,
8.1,32.7130050729,3.87021672027,25.3944844769,25.1788374612,,
8.2,32.9286520886,2.36068761023,25.6101314926,36.5811734174,,
8.3,33.3599461201,2.36068761023,25.6101314926,41.1097607475,,
8.4,32.4973580572,2.36068761023,25.6101314926,39.8158786532,,
8.5,33.1442991043,6.013208939,25.6101314926,36.7968204331,,
8.6,32.4973580572,33.3599461201,25.6101314926,14.8412586451,,
8.7,32.4973580572,43.6840469977,25.8257785083,3.87021672027,,
8.8,32.4973580572,45.4092231235,26.4727195555,3.00762865739,,
8.9,32.2817110415,46.2718111863,27.968770727,2.79198164167,,
9,32.2817110415,42.6058119191,29.6939468528,2.79198164167,,
9.1,32.2817110415,35.9342323702,29.2626528214,3.22327567311,,
9.2,32.4973580572,10.5417962691,30.5565349157,9.2479141748,,
9.3,32.7130050729,3.87021672027,30.5565349157,25.6101314926,,
9.4,32.7130050729,3.43892268883,30.7721819314,35.0716443073,,
9.5,31.85041701,3.00762865739,30.5565349157,39.6002316375,,
9.6,32.4973580572,2.57633462595,30.3408879,36.149879386,,
9.7,32.9286520886,3.43892268883,29.9095938685,26.2570725398,,
9.8,32.9286520886,15.9194937237,29.9095938685,12.6847884879,,
9.9,32.9286520886,36.3655264017,29.6939468528,3.87021672027,,
10,33.1442991043,41.7432238562,29.4782998371,2.36068761023,,
10.1,33.3599461201,43.0371059505,29.2626528214,2.57633462595,,
10.2,32.9286520886,41.3254077632,28.8313587899,2.36068761023,,
10.3,32.9286520886,33.7912401515,28.6157117742,4.51715776743,,
10.4,32.9286520886,9.46356119053,28.4000647585,15.9194937237,,
10.5,32.7130050729,2.57633462595,28.1844177428,31.85041701,,
10.6,32.7130050729,2.57633462595,27.7531237113,43.0371059505,,
10.7,32.7130050729,2.36068761023,27.7531237113,41.541054779,,
10.8,32.7130050729,2.14504059451,28.1844177428,17.8603168651,,
10.9,32.4973580572,11.8356783635,27.968770727,5.79756192327,,
11,32.7130050729,34.8559972916,28.1844177428,2.79198164167,,
11.1,32.9286520886,41.3254077632,28.1844177428,2.57633462595,,
11.2,33.1442991043,43.0371059505,28.1844177428,2.57633462595,,
11.3,33.5755931358,44.3309880449,28.1844177428,4.73280478315,,
11.4,34.0068871672,33.7912401515,28.6157117742,12.2534944564,,
11.5,33.7912401515,8.1696790962,28.1844177428,24.3162493983,,
11.6,33.5755931358,3.22327567311,28.4000647585,35.2872913231,,
11.7,33.3599461201,2.36068761023,29.2626528214,34.0068871672,,
11.8,32.9286520886,1.92939357879,30.1252408843,21.7284852096,,
11.9,32.9286520886,2.14504059451,29.9095938685,7.52273804904,,
12,32.9286520886,6.87579700188,29.2626528214,4.08586373599,,
12.1,33.1442991043,24.9631904454,29.2626528214,3.00762865739,,
12.2,33.3599461201,34.6403502759,28.8313587899,2.57633462595,,
12.3,32.9286520886,37.0124674488,29.2626528214,4.08586373599,,
12.4,32.9286520886,38.3063495432,29.0470058057,13.5473765507,,
12.5,32.9286520886,40.0315256689,29.2626528214,21.2971911782,,
12.6,32.9286520886,39.3845846218,30.1252408843,30.7721819314,,
12.7,31.6347699943,21.9441322254,32.0660640257,41.541054779,,
12.8,31.6347699943,5.36626789183,32.7130050729,43.0371059505,,
12.9,32.2817110415,2.57633462595,31.85041701,38.0907025274,,
13,32.4973580572,1.92939357879,32.0660640257,29.4782998371,,
13.1,32.4973580572,1.92939357879,31.6347699943,13.9786705822,,
13.2,32.2817110415,3.22327567311,30.9878289471,5.15062087611,,
13.3,32.4973580572,19.7876620681,30.7721819314,3.87021672027,,
13.4,32.4973580572,35.2872913231,31.6347699943,3.87021672027,,
13.5,32.9286520886,41.3254077632,30.9878289471,4.73280478315,,
13.6,32.9286520886,42.1745178876,30.5565349157,7.95403208048,,
13.7,32.9286520886,43.0371059505,30.5565349157,17.6446698494,,
13.8,32.9286520886,41.3254077632,30.3408879,26.4727195555,,
13.9,33.3599461201,14.6256116293,30.5565349157,29.0470058057,,
14,33.3599461201,2.57633462595,30.9878289471,27.7531237113,,
14.1,33.5755931358,2.14504059451,31.6347699943,25.6101314926,,
14.2,34.2090562445,2.14504059451,31.2034759629,24.3162493983,,
14.3,34.2090562445,2.14504059451,31.2034759629,14.6256116293,,
14.4,34.0068871672,6.44450297044,30.9878289471,5.79756192327,,
14.5,34.4247032602,30.1252408843,30.7721819314,3.65456970455,,
14.6,33.5755931358,38.7376435746,29.0470058057,2.79198164167,,
14.7,33.3599461201,41.1097607475,29.4782998371,6.013208939,,
14.8,33.5755931358,41.9588708719,29.9095938685,20.2189560996,,
14.9,33.5755931358,42.3901649034,30.7721819314,28.4000647585,,
15,34.2090562445,27.3218296799,30.3408879,34.0068871672,,
15.1,34.0068871672,13.331729535,30.1252408843,35.5029383388,,
15.2,34.0068871672,3.22327567311,29.4782998371,34.0068871672,,
15.3,33.5755931358,1.92939357879,29.9095938685,32.7130050729,,
15.4,33.5755931358,1.71374656307,30.1252408843,15.0569056608,,
15.5,33.7912401515,1.71374656307,30.1252408843,5.15062087611,,
15.6,33.5755931358,2.36068761023,30.1252408843,3.87021672027,,
15.7,33.5755931358,4.93497386039,30.1252408843,3.43892268883,,
15.8,33.7912401515,15.2725526765,29.9095938685,4.08586373599,,
15.9,33.5755931358,30.9878289471,30.1252408843,14.8412586451,,
16,33.5755931358,40.0315256689,29.4782998371,25.6101314926,,
16.1,33.5755931358,42.6058119191,29.2626528214,32.2817110415,,
16.2,33.5755931358,44.7622820763,29.2626528214,35.0716443073,,
16.3,34.0068871672,43.6840469977,29.0470058057,34.2090562445,,
16.4,33.5755931358,20.8658971468,29.0470058057,32.0660640257,,
16.5,33.5755931358,3.43892268883,28.1844177428,25.8257785083,,
16.6,33.5755931358,1.92939357879,28.8313587899,12.6847884879,,
16.7,33.3599461201,1.71374656307,29.2626528214,5.15062087611,,
16.8,33.3599461201,1.71374656307,28.1844177428,3.87021672027,,
16.9,33.5755931358,1.71374656307,28.6157117742,3.43892268883,,
17,33.5755931358,4.08586373599,28.4000647585,3.87021672027,,
17.1,34.2090562445,13.5473765507,28.8313587899,16.3507877551,,
17.2,34.4247032602,24.7475434297,28.8313587899,31.4191229786,,
17.3,33.5755931358,33.5755931358,29.0470058057,34.8559972916,,
17.4,33.5755931358,36.5811734174,29.4782998371,35.0716443073,,
17.5,33.5755931358,39.8158786532,29.6939468528,35.0716443073,,
17.6,33.5755931358,41.1097607475,29.9095938685,33.5755931358,,
17.7,33.3599461201,37.0124674488,30.5565349157,18.9385519437,,
17.8,32.9286520886,36.5811734174,30.9878289471,6.013208939,,
17.9,32.7130050729,28.4000647585,31.2034759629,3.43892268883,,
18,32.9286520886,5.15062087611,31.2034759629,3.22327567311,,
18.1,32.7130050729,1.49809954735,31.4191229786,3.43892268883,,
18.2,32.9286520886,1.49809954735,31.6347699943,6.66014998616,,
18.3,32.7130050729,1.71374656307,30.9878289471,23.6693083511,,
18.4,32.2817110415,2.14504059451,31.4191229786,30.5565349157,,
18.5,32.4973580572,9.03226715908,32.4973580572,31.6347699943,,
18.6,32.7130050729,29.9095938685,33.7912401515,31.2034759629,,
18.7,33.3599461201,36.149879386,33.7912401515,30.9878289471,,
18.8,32.7130050729,38.9532905903,34.0068871672,27.5374766956,,
18.9,31.4191229786,40.8941137318,34.4247032602,21.5128381939,,
19,31.85041701,38.5219965589,33.7912401515,10.9730903006,,
19.1,31.6347699943,25.6101314926,32.7130050729,4.93497386039,,
19.2,31.85041701,7.95403208048,31.85041701,3.65456970455,,
19.3,31.6347699943,2.14504059451,31.2034759629,3.65456970455,,
19.4,31.85041701,1.49809954735,30.3408879,3.65456970455,,
19.5,31.2034759629,1.49809954735,30.1252408843,3.87021672027,,
19.6,30.9878289471,1.71374656307,30.7721819314,4.08586373599,,
19.7,31.4191229786,1.71374656307,31.6347699943,4.30151075171,,
19.8,31.85041701,1.71374656307,31.85041701,4.30151075171,,
19.9,31.6347699943,1.71374656307,30.9878289471,4.51715776743,,
20,32.2817110415,1.71374656307,31.4191229786,4.51715776743,,
20.1,32.2817110415,1.71374656307,31.2034759629,4.51715776743,,
20.2,32.7130050729,1.92939357879,31.2034759629,4.51715776743,,
20.3,32.9286520886,1.92939357879,30.9878289471,4.73280478315,,
20.4,32.9286520886,1.92939357879,29.9095938685,4.51715776743,,
20.5,32.9286520886,1.92939357879,30.3408879,4.51715776743,,
20.6,33.1442991043,1.92939357879,30.7721819314,4.51715776743,,
20.7,32.9286520886,3.43892268883,31.4191229786,4.51715776743,,
20.8,32.7130050729,16.3507877551,32.9286520886,4.08586373599,,
20.9,32.7130050729,35.0716443073,34.4247032602,3.43892268883,,
21,32.7130050729,47.3500462649,35.5029383388,2.57633462595,,
21.1,32.7130050729,58.105441174,35.5029383388,2.36068761023,,
21.2,32.7130050729,68.8743140216,35.2872913231,2.36068761023,,
21.3,32.4973580572,80.9235910249,34.4247032602,2.36068761023,,
21.4,32.7130050729,89.9672877467,33.7912401515,2.36068761023,,
21.5,31.85041701,97.7171023742,33.5755931358,2.36068761023,,
21.6,32.2817110415,104.604328939,32.7130050729,2.36068761023,,
21.7,32.2817110415,109.11943833,32.2817110415,8.1696790962,,
21.8,31.4191229786,110.413320425,32.4973580572,49.7086854994,,
21.9,32.0660640257,66.7178438643,32.4973580572,77.0554226805,,
22,32.2817110415,5.58191490755,31.6347699943,84.8052373079,,
22.1,33.3599461201,1.28245253162,31.4191229786,93.4041620598,,
22.2,33.7912401515,1.28245253162,31.2034759629,93.6198090755,,
22.3,33.3599461201,1.0668055159,30.9878289471,88.0264646052,,
22.4,32.9286520886,0.851158500183,30.5565349157,49.9243325151,,
22.5,33.3599461201,1.92939357879,30.1252408843,12.9004355036,,
22.6,34.2090562445,2.14504059451,30.1252408843,5.15062087611,,
22.7,34.4247032602,2.36068761023,30.1252408843,3.43892268883,,
22.8,33.7912401515,4.73280478315,29.9095938685,2.57633462595,,
22.9,34.0068871672,18.2916108966,29.2626528214,2.79198164167,,
23,32.9286520886,53.5903317824,28.4000647585,3.22327567311,,
23.1,33.5755931358,69.7369020844,28.6157117742,4.93497386039,,
23.2,33.7912401515,74.0363644604,28.6157117742,21.7284852096,,
23.3,34.0068871672,74.0363644604,28.8313587899,67.7960789429,,
23.4,33.7912401515,74.8989525232,28.6157117742,73.3894234132,,
23.5,34.0068871672,74.2520114761,28.6157117742,77.0554226805,,
23.6,34.2090562445,75.7615405861,29.0470058057,79.1984148992,,
23.7,34.6403502759,85.0208843236,28.8313587899,82.2174731193,,
23.8,35.2872913231,97.2858083427,29.0470058057,78.3358268363,,
23.9,35.9342323702,84.3739432765,28.8313587899,57.2428531111,,
24,35.7185853545,14.4099646136,28.4000647585,20.4346031153,,
24.1,36.3655264017,2.57633462595,28.8313587899,5.36626789183,,
24.2,36.3655264017,1.71374656307,29.2626528214,3.22327567311,,
24.3,36.3655264017,1.71374656307,29.9095938685,1.92939357879,,
24.4,35.9342323702,1.71374656307,29.6939468528,1.28245253162,,
24.5,36.149879386,1.92939357879,29.6939468528,1.49809954735,,
24.6,36.7968204331,1.71374656307,29.6939468528,1.71374656307,,
24.7,36.7968204331,1.92939357879,29.2626528214,2.79198164167,,
24.8,35.9342323702,1.92939357879,29.2626528214,4.30151075171,,
24.9,35.9342323702,3.22327567311,29.6939468528,13.1160825193,,
25,35.9342323702,12.9004355036,30.3408879,64.3457266914,,
25.1,35.5029383388,44.977929092,30.3408879,91.4768168568,,
25.2,35.2872913231,70.5994901473,30.3408879,99.0109844685,,
25.3,35.0716443073,92.3394049197,30.7721819314,92.1237579039,,
25.4,35.2872913231,100.50703564,30.5565349157,68.8743140216,,
25.5,35.2872913231,101.369623703,29.9095938685,15.4881996922,,
25.6,35.2872913231,95.9919262484,30.5565349157,4.51715776743,,
25.7,35.5029383388,33.7912401515,29.6939468528,2.57633462595,,
25.8,34.6403502759,4.93497386039,29.6939468528,1.49809954735,,
25.9,34.6403502759,2.14504059451,29.9095938685,1.0668055159,,
26,34.6403502759,1.92939357879,29.9095938685,0.851158500183,,
26.1,34.4247032602,1.92939357879,29.9095938685,1.28245253162,,
26.2,34.4247032602,1.92939357879,30.3408879,1.28245253162,,
26.3,34.4247032602,1.92939357879,30.5565349157,2.14504059451,,
26.4,34.4247032602,2.14504059451,30.3408879,13.5473765507,,
